	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
0	Cambria Hotel New York - Chelsea	NA	NY	$159	4.5	Excellent	100	443	104
1	Crowne Plaza Times Square Manhattan	New York City 	NY	$229	4.0	Very good	100	551	246
2	Park Lane Hotel	New York City 	NY	$180	4.0	Very good	100	263	90
3	Martinique New York on Broadway, Curio Collection by Hilton	New York City 	NY	$191	4.0	Very good	100	547	104
4	Arlo NoMad	New York City 	NY	$215	4.5	Excellent	100	511	89
5	Hilton Garden Inn New York Times Square South	New York City 	NY	$280	4.5	Excellent	100	406	94
6	Hotel Pennsylvania	New York City 	NY	$85	3.0	Average	100	473	90
7	The Gotham Hotel	New York City 	NY	$215	4.0	Very good	100	452	141
8	The Lexington Hotel, Autograph Collection	New York City 	NY	$189	4.0	Very good	100	482	67
9	Hilton Times Square	New York City 	NY	$215	4.5	Excellent	100	597	236
10	The Plaza	New York City 	NY	$895	4.5	Excellent	100	263	98
11	Fifty Hotel & Suites by Affinia	New York City 	NY	$146	4.0	Very good	100	449	50
12	The Wolcott Hotel	New York City 	NY	$160	4.0	Very good	100	510	95
13	The Gregory Hotel New York	New York City 	NY	$144	4.0	Very good	100	543	106
14	Lex Boutique Hotel	NA	NY	$139	4.5	Excellent	100	385	47
15	InterContinental New York Barclay	New York City 	NY	$200	4.5	Excellent	100	465	77
16	Colonial House Inn	NA	NY	$155	4.5	Excellent	100	228	40
17	New York Marriott Downtown	New York City 	NY	$199	4.0	Very good	100	189	41
18	Hilton Garden Inn New York/Midtown Park Ave	New York City 	NY	$131	4.5	Excellent	100	476	73
19	CitizenM New York Bowery	New York City 	NY	$189	4.5	Excellent	100	532	165
20	Holiday Inn New York City - Times Square	New York City 	NY	$130	4.0	Very good	100	533	151
21	Four Points by Sheraton Midtown - Times Square	New York City 	NY	$142	4.0	Very good	100	457	161
22	Walker Hotel Greenwich Village	New York City 	NY	$265	4.5	Excellent	100	341	73
23	Hotel Mulberry	New York City 	NY	$179	4.5	Excellent	100	362	52
24	Club Quarters Hotel, World Trade Center	New York City 	NY	$170	4.5	Excellent	100	225	49
25	Aloft Manhattan Downtown Financial - District	NA	NY	$152	4.0	Very good	100	315	56
26	Broadway Plaza Hotel	New York City 	NY	$260	4.0	Very good	100	474	103
27	Hilton Garden Inn New York - Times Square Central	NA	NY	$188	4.0	Very good	100	565	226
28	The Assemblage John Street	New York City 	NY	$197	4.5	Excellent	100	323	67
