	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
0	Baccarat Hotel & Residences New York	New York City 	NY	$1,045	4.5	Excellent	100	451	119
1	Crowne Plaza Times Square Manhattan	New York City 	NY	$229	4.0	Very good	100	551	246
2	Park Lane Hotel	New York City 	NY	$180	4.0	Very good	100	263	90
3	Martinique New York on Broadway, Curio Collection by Hilton	New York City 	NY	$191	4.0	Very good	100	547	104
4	Arlo NoMad	NA	NY	$215	4.5	Excellent	100	511	89
5	Hilton Garden Inn New York Times Square South	New York City 	NY	$280	4.5	Excellent	100	406	94
6	Arlo SoHo	New York City 	NY	$179	4.5	Excellent	100	162	40
7	The Gotham Hotel	New York City 	NY	$215	4.0	Very good	100	452	141
8	The Lexington Hotel, Autograph Collection	New York City 	NY	$189	4.0	Very good	100	482	67
9	Hilton Times Square	New York City 	NY	$215	4.5	Excellent	100	597	236
10	The Plaza	New York City 	NY	$895	4.5	Excellent	100	263	98
11	Fifty Hotel & Suites by Affinia	NA	NY	$146	4.0	Very good	100	449	50
12	The Wolcott Hotel	New York City 	NY	$160	4.0	Very good	100	510	95
13	The Gregory Hotel New York	NA	NY	$144	4.0	Very good	100	543	106
14	Lex Boutique Hotel	New York City 	NY	$289	4.5	Excellent	100	385	47
15	InterContinental New York Barclay	New York City 	NY	$348	4.5	Excellent	100	465	77
16	Colonial House Inn	New York City 	NY	$155	4.5	Excellent	100	228	40
17	New York Marriott Downtown	New York City 	NY	$199	4.0	Very good	100	189	41
18	Hilton Garden Inn New York/Midtown Park Ave	New York City 	NY	$131	4.5	Excellent	100	476	73
19	CitizenM New York Bowery	New York City 	NY	$189	4.5	Excellent	100	532	165
20	Holiday Inn New York City - Times Square	New York City 	NY	$130	4.0	Very good	100	533	151
21	Four Points by Sheraton Midtown - Times Square	New York City 	NY	$142	4.0	Very good	100	457	161
22	Walker Hotel Greenwich Village	New York City 	NY	$465	4.5	Excellent	100	341	73
23	Hotel Mulberry	NA	NY	$179	4.5	Excellent	100	362	52
24	Club Quarters Hotel, World Trade Center	New York City 	NY	$170	4.5	Excellent	100	225	49
25	Aloft Manhattan Downtown Financial - District	New York City 	NY	$152	4.0	Very good	100	315	56
26	Broadway Plaza Hotel	New York City 	NY	$250	4.0	Very good	100	474	103
27	Hilton Garden Inn New York - Times Square Central	New York City 	NY	$188	4.0	Very good	100	565	226
28	The Assemblage John Street	New York City 	NY	$197	4.5	Excellent	100	323	67
29	Hampton Inn Manhattan Grand Central	New York City 	NY	$164	4.5	Excellent	100	348	48
30	Courtyard New York Manhattan/Times Square West	New York City 	NY	$188	4.5	Excellent	100	439	109
31	255West Guesthouse	New York City 	NY	$185	5.0	Excellent	85	43	9
32	InterContinental New York Times Square	New York City 	NY	$230	4.0	Very good	100	582	247
33	The Bentley Hotel	New York City 	NY	$143	4.0	Very good	99	92	13
34	Stewart Hotel	NA	NY	$179	4.0	Very good	100	415	82
35	Hotel Belleclaire	New York City 	NY	$207	4.0	Very good	100	153	31
36	Hotel Riu Plaza New York Times Square	New York City 	NY	$227	4.5	Excellent	100	586	256
37	Hotel Pennsylvania	New York City 	NY	$85	3.0	Average	100	473	90
38	The Evelyn	NA	NY	$263	4.5	Excellent	100	511	99
39	Hilton Garden Inn NYC Financial Center/Manhattan Downtown	New York City 	NY	$135	4.5	Excellent	100	198	46
40	The Leon Hotel	New York City 	NY	$135	4.5	Excellent	100	474	59
41	Fitzpatrick Grand Central	New York City 	NY	$248	4.5	Excellent	100	453	64
42	Dream Midtown	NA	NY	$150	4.5	Excellent	100	469	117
43	Avalon Hotel	New York City 	NY	$210	4.5	Excellent	100	491	92
44	Sister City	New York City 	NY	$209	4.5	Excellent	NA	NA	NA
45	Millennium Hilton New York One UN Plaza	New York City 	NY	$188	4.0	Very good	100	184	22
46	The Tuscany - A St Giles Signature Hotel	New York City 	NY	$202	4.5	Excellent	100	403	64
47	Hotel Hayden	New York City 	NY	$165	4.0	Very good	100	446	104
48	The James New York - NoMad	New York City 	NY	$209	4.0	Very good	100	521	92
49	Cassa Hotel Times Square	NA	NY	$239	4.5	Excellent	100	357	95
50	World Center Hotel	New York City 	NY	$139	4.5	Excellent	100	216	51
51	Lyric	New York City 	NY	$365	4.5	Excellent	100	413	64
52	Executive Hotel LeSoleil	New York City 	NY	$269	4.5	Excellent	100	547	112
53	Best Western Premier Herald Square	New York City 	NY	$200	4.5	Excellent	100	562	115
54	The Renwick Hotel New York City, Curio Collection by Hilton	New York City 	NY	$199	4.5	Excellent	100	421	67
55	Club Quarters Hotel, Grand Central	New York City 	NY	$159	4.5	Excellent	100	471	65
56	Sago Hotel	New York City 	NY	$180	4.5	Excellent	100	440	125
57	The Townhouse Inn of Chelsea	New York City 	NY	$189	4.5	Excellent	100	366	87
58	The Algonquin Hotel Times Square, Autograph Collection	New York City 	NY	$194	4.0	Very good	100	482	176
59	Marriott Vacation Club Pulse, New York City	New York City 	NY	$161	4.5	Excellent	100	559	122
60	Hotel 32 32	New York City 	NY	$140	4.5	Excellent	100	507	83
61	The Roger	New York City 	NY	$184	4.5	Excellent	100	510	84
62	Edge Hotel	New York City 	NY	$209	4.5	Excellent	89	171	11
63	Artezen Hotel	New York City 	NY	$214	5.0	Excellent	NA	NA	NA
64	Novotel New York Times Square	New York City 	NY	$296	4.5	Excellent	100	518	171
65	Arthouse Hotel New York City	New York City 	NY	$207	4.0	Very good	100	169	37
66	Radio City Apartments	New York City 	NY	$138	4.0	Very good	100	514	257
67	Sanctuary Hotel New York Times Square	NA	NY	$229	4.5	Excellent	100	529	260
68	AC Hotel New York Downtown	New York City 	NY	$119	4.0	Very good	100	259	51
69	Staybridge Suites Times Square - New York City	New York City 	NY	$145	4.5	Excellent	100	461	151
70	NobleDEN Hotel	New York City 	NY	$202	4.5	Excellent	100	515	121
71	Ace Hotel New York	New York City 	NY	$159	4.0	Very good	100	479	106
72	Sofitel New York	New York City 	NY	$251	4.5	Excellent	100	488	178
73	Hampton Inn Manhattan / Times Square Central	New York City 	NY	$197	4.5	Excellent	100	594	206
